gene_id,Oxy_rep3,Control_rep1,Control_rep2,Control_rep3,CoCl2_rep1,CoCl2_rep2,CoCl2_rep3,Oxy_rep1,Oxy_rep2
ALOX12P2,0,0,0,0,4,5,3,1,0
ALOX15,6,3,0,1,0,1,1.069,2,2
ALOX15B,0,0,0,0,0,0,1,0,0
ALOX15P1,4,2,1,0,1,0,1.931,6,4
ALOX5,0,0,0,0,1,0,1,1,1
ALOX5AP,13,11,10,3,16,7,19,21,12
ALOXE3,26,6,12,7,22,13,27,29,38
ALPG,150.982,59.995,62.422,60.409,160.261,120.645,210.499,168.111,167.468
ALPI,176.185,131,149.258,113,68,58,106.104,207.369,207.188
ALPK1,26,25,34,19,27,17,26,28,34
ALPK2,433,242,264,221,105,73,169,515,485
ALPK3,28,6,15,10,9,10,7,25,32
ALPL,8,6,7,3,4,3,5,4,14
ALPP,646.833,294.005,358.32,314.591,520.739,478.355,764.397,765.52,746.344
ALS2,1858,1447,1598,1313,4439,3313,5043,2216.999,2158.001
ALS2CL,499.001,141.001,131.999,142.001,177,153.999,231.999,585,636
ALX1,0,0,0,0,0,0,0,0,2
ALX3,58,37,37,58,74,57,64,49,74
ALX4,3,4,3,3,2,7,6,4,3
ALYREF,1479,2274,2367,2151,3317,2509,3871,1796,1726
AMACR,1062.887,2388.772,2335.504,1939.553,198.747,253,329,1187.541,1122.646
AMBN,1,0,0,0,0,0,0,0,0
AMBP,14,16,19,18,60,31,55,17,17
AMBRA1,871.001,945.001,970,783,928.249,675,1172,1072.09,1050
AMD1,2161,3050,3858,3270,5146,4230,5521,2434.999,2705
AMDHD1,4,0,4,1,3,0,2,2,3
AMDHD2,198.381,371,415.001,326.001,124,123,161,302,313
AMELX,0,0,1,0,0,0,0,0,0
AMELY,0,0,0,0,0,0,0,0,0
AMER1,444,761,800,686,166,139,208,483,531
AMER2,0,0,0,1,0,0,0,0,0
AMER3,17,12,19,7.998,2,2,1,13,15
AMFR,1805,1648.087,1869,1724.001,2465,1861.001,2870,2349,2357.001
AMH,103,62,70,49,66,51,66,117,118
AMHR2,0,1,2,1,1,2,1,1,3
AMIGO1,28,23,34,23,3,1,4,39,34
AMIGO2,28,9,11,12,18,11,14,26,22
AMIGO3,73,83,70,86,121,109,165,126,106
AMMECR1,645,742,1015,840,636,603,787,651,731
AMMECR1L,1193.869,1175.132,1284.447,1145.896,2874.313,2213.177,3230.135,1415.046,1448.232
AMN,556,508.001,549,468.001,355,268,422,656,646
AMN1,115.746,76.914,82.337,90.821,71.603,81.331,97.659,132.981,134.922
AMOT,1427,1268,1420,1088,520.001,420,631.001,1649,1582
AMOTL1,3264,3526,3965.999,3449,968.004,739,1211.001,3874,3984
AMOTL2,4771,4060,4251,3835,5226,4163,6334,5828,5895.999
AMPD1,0,0,0,0,1,1,0,0,0
AMPD2,572,522,568,501,1362,1091,1620,722,741
AMPD3,321,232,241,179,228.999,173,239,339.001,353
AMPH,0,0,0,0,0,0,0,0,0
AMT,40,31,39,26,26,12,12,55,69
AMTN,0,0,0,0,0,0,0,0,0
AMY1A,0,0,0,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0,0,0,0
AMY2A,0.5,0,0,0,1.001,0,0,0,0
AMY2B,0.5,2,4.023,4,1.999,2,2,3,4
AMZ1,110.2,53.692,66.999,45.854,118.894,83.961,132.256,122.325,170.891
AMZ2,651.393,704.127,826.879,668.238,169.562,185.678,250.171,717.349,711.413
AMZ2P1,58.607,77.873,94.121,63.761,52.439,44.322,53.829,60.651,53.586
ANAPC1,2196.428,3633.558,4069.472,3308.535,1760.615,1424.783,2117.37,2481.467,2553.455
ANAPC10,215.638,311.085,317.627,321.886,428.665,344.541,484.164,229.526,252.612
ANAPC11,484,515,509,510,535,444,576,610,635.001
ANAPC13,565.001,759.235,880.8,744.596,396,325.486,485.516,700.454,724.493
ANAPC15,469.255,1205.864,1263.918,1131.817,742.426,539.722,864.169,575.422,613.901
ANAPC16,2117,2065.998,2161.999,1905.953,1128,874,1355.001,2470.906,2518.999
ANAPC1P1,1.145,3.124,2.535,3.764,2.45,2.239,11.809,0,1.186
ANAPC1P2,571.182,376.809,413.483,289.034,1514.933,1181.978,1675.264,714.31,601.991
ANAPC1P4,119.426,163.001,112.413,90.081,432.32,252.093,460.518,103.533,149.238
ANAPC1P6,0,0,0,0,0,0,0,0,0
ANAPC2,405.757,451.278,493.851,463.721,410.336,384.144,573.546,454.416,480.222
ANAPC4,357,416,550.999,382,202,177,230,360,381
ANAPC5,2065,2248,2515,2162,1287,1001,1486,2396,2419
ANAPC7,1026.999,1890.999,2013.999,1725.001,947,783,1263.697,1203.999,1234
ANG,219.016,105.556,96.005,60.165,171.854,120.306,174.039,289.865,290.514
ANGEL1,580.263,704.522,735.685,618.384,90,83.441,127.739,700.489,751.289
ANGEL2,364.001,382,489.999,399.999,624,479.001,667.001,402,442
ANGPT1,63,96,135,91,42,28,40,72,90
ANGPT2,3,3,4,3,56,47,54,3,9.005
ANGPT4,0,1,0,1,0,0,0,1,0
ANGPTL1,2,1,1,1,2,5,1,1,3
ANGPTL2,3,1,5,1,2,2,3,4,5
ANGPTL3,2,1,2,1,0,0,0,0,0
ANGPTL4,32,2,2,1,10,3,14,33,40
ANGPTL5,1,1,3,0,1,0,0,0,1
ANGPTL6,4.53,1.098,3.408,4.902,0,1.176,0,3.388,16.768
ANGPTL7,18,2,1,0,0,1,0,30,22
ANGPTL8,0,2,0,0,0,0,0,0,0
ANHX,0,0,0,0,0,0,0,0,0
ANK1,9,7,8,5,1,3,1,14,10
ANK2,216.001,179,181.001,157,181,136,173,324,317
ANK2-AS1,0,0,0,0,0,0,0,1,0
ANK3,1299.999,754,818.999,809,467.001,351,566.999,1496,1551
ANK3-DT,0,1,0,0,0,0,0,0,2
ANKAR,29.999,22,38,21,25,24,19,40,42
ANKDD1A,19,39,20,24,3,4,11,20,27
ANKDD1B,2,4,8,2,4,5,17,5,7
ANKEF1,171,178,201,192,191,165,257,211,213.999
ANKFN1,11,4,2,1,4,5,8,8,18
ANKFY1,873,793,887,729.999,950,704,1041,1008,1060
ANKH,272.75,212.127,226.416,176.158,326.021,203.615,329.146,375.946,370.236
ANKHD1,2931.654,2318.084,2537.467,2458.413,4732.253,3353.853,4966.862,2963.506,3442.589
ANKHD1-EIF4EBP3,2527.386,1825.065,1957.706,1494.546,3133.336,2624.219,3987.831,3313.082,2934.514
ANKIB1,1056,996,1146,1016,828,673,922,1247,1305
ANKK1,8,9,8,4,0,0,0,12,0
ANKLE1,241,352,343.999,323,86,51,106.102,327,290
ANKLE2,1932,1845.999,1848.999,1682.999,2279.001,1725,2767.001,2248,2246.999
ANKMY1,242.469,241.46,236.536,239.175,85.166,89.559,114.238,264.603,288.401
ANKMY2,617,768,909,779,999,762,1055,733,775
ANKRA2,104,82,96,69,88,74,131,117,121.001
ANKRD1,6117,6857.743,8151,7333.815,5684,4393.289,6960,7501,7115
ANKRD10,1074,779,886,812,1305.001,1008.999,1372.002,1178.001,1316
ANKRD11,8825.001,5059,5477.001,4843,8926.001,6761.606,10882.001,10189.001,9886.001
ANKRD12,1267,925.999,1266.999,927,1884.847,1562,2157,1444.657,1567
ANKRD13A,1467,884.999,1011,755,706,591,908,1725.999,1720
ANKRD13B,166,171,186.001,157.999,84,62,117.001,196,211.001
ANKRD13C,384,313.999,363.001,315,387,341,462.999,459,407
ANKRD13D,364,432.999,414,388,295.999,247,410,481,461
ANKRD16,141,195,229,170,58,41.999,79,166,185
ANKRD17,3245,3172.999,3584.999,2994,5860,4512,6496.002,3802.001,3915
ANKRD17-DT,1,6,2,4,0,0,3,1,2
ANKRD18A,1.038,7.581,4.747,10.831,1,0,0,3.209,7.395
ANKRD18B,37.963,22.609,41.842,34.341,5,5,6,28.787,25.054
ANKRD18CP,24.195,18.88,29.294,22.448,4.305,9.251,9.253,36.339,35.021
ANKRD18DP,1,0,0,0,0,0,0,0,0
ANKRD19P,20.901,17.925,9.929,19.826,11.492,13.08,11.182,21.042,12.628
ANKRD2,3,1,1,4,2,2,3,4,5
ANKRD20A1,0,0,0,0,0,0,0,0,0
ANKRD20A11P,1.959,2.829,0.865,1.966,0,1,0,0,2.972
ANKRD20A12P,0,0,0,0,0,0,0,0,0
ANKRD20A12P_1,1,1.11,0,0,0,0,1.804,1.045,0
ANKRD20A19P,3,13,15,10,4,0,5,2,4
ANKRD20A21P,2.019,2,4.679,4.242,1.011,2,3,6.064,3.003
ANKRD20A2P,0,0,0,2,0,0,0,0,0
ANKRD20A3P,1.585,0,0,0,0,0,0,0,0
ANKRD20A4-ANKRD20A20P,0,1.958,0,0,0,0,0,0,1
ANKRD20A5P,105.914,94.936,117.455,90.62,70.867,62.967,80.848,105.853,127.618
ANKRD20A8P,1.447,0,0,0,0,0,1.007,0,0
ANKRD20A9P,1.247,2.237,5.618,6.414,3.122,1.032,3.145,2.455,6.523
ANKRD22,3,4,1,2,5,3.001,4,6,8
ANKRD23,36,45,38,55,42,25,76,48,51
ANKRD24,2,7,2,2,2,2,1,5,6
ANKRD26,536,577,692,578,183,163.001,238,617.999,622.999
ANKRD26P1,0,1,1,0,3,5,3,1,1
ANKRD26P3,0,0,0,0,0,0,0,0,0
ANKRD27,1312,1308,1403,1181,1241,919,1545,1477,1507
ANKRD28,711,828,929,870,554.998,444,716.978,826.001,914
ANKRD29,66,83,99,71,23,20,27,95,64
ANKRD30A,0,0,1,0,0,0,0,1,0
ANKRD30B,0,0,0,0,0,0,0,0,0
ANKRD30BL,0,0,0,0,0,0,0,0,0
ANKRD30BP2,0,0,0,0,0,0,1,0,0
ANKRD30BP3,0,0,0,0,0,0,0,0,0
